rental_id,user_id,age,gender,start_time,end_time,start_station,end_station,duration_minutes,price
1,U1857,35,M,2025-01-23 19:35:00,2025-01-23 19:47:00,Station Quartier Administratif,Station Centre-Ville,12,7.4
2,U3212,39,F,2025-03-22 10:05:00,2025-03-22 10:44:00,Station Aéroport Bus,Station Gare,39,9.3
3,U7186,22,M,2024-04-04 10:09:00,2024-04-04 10:46:00,Station Aéroport Bus,Station Gare,37,9.8
4,U8055,54,M,2024-12-17 18:51:00,2024-12-17 19:56:00,Station Souk,Station Marina,65,12.4
5,U4389,56,F,2024-01-13 19:57:00,2024-01-13 20:37:00,Station Stade,Station Hôpital,40,10.3
6,U9823,58,F,2025-06-17 11:26:00,2025-06-17 11:36:00,Station Stade,Station Souk,10,6.2
7,U9356,20,F,2025-05-13 15:16:00,2025-05-13 15:42:00,Station Technopark,Station Université,26,7.6
8,U2200,64,M,2024-07-12 17:05:00,2024-07-12 17:57:00,Station Stade,Station Centre-Ville,52,12.7
9,U6955,18,F,2025-10-16 13:31:00,2025-10-16 14:06:00,Station Parc Central,Station Centre-Ville,35,9.8
10,U9915,48,Autre,2025-01-22 15:29:00,2025-01-22 16:01:00,Station Université,Station Corniche,32,9.8
11,U1166,26,M,2025-12-02 12:27:00,2025-12-02 12:48:00,Station Centre-Ville,Station Parc Central,21,8.1
12,U2025,50,M,2025-07-02 17:04:00,2025-07-02 17:25:00,Station Gare,Station Centre-Ville,21,8.1
13,U7622,19,Autre,2025-07-29 13:26:00,2025-07-29 13:39:00,Station Marina,Station Centre-Ville,13,7.4
14,U7865,22,F,2024-03-21 06:56:00,2024-03-21 07:29:00,Station Technopark,Station Université,33,10.3
15,U1936,51,M,2025-02-02 13:08:00,2025-02-02 13:21:00,Station Marina,Station Centre-Ville,13,7.4
16,U3732,55,M,2025-11-15 09:22:00,2025-11-15 09:42:00,Station Centre-Ville,Station Quartier Administratif,20,6.4
17,U8391,37,M,2025-06-13 19:35:00,2025-06-13 20:04:00,Station Centre-Ville,Station Parc Central,29,8.1
18,U7045,32,F,2024-07-27 13:16:00,2024-07-27 13:46:00,Station Hôpital,Station Parc Central,30,7.6
19,U1704,50,M,2024-07-17 14:36:00,2024-07-17 14:59:00,Station Parc Central,Station Centre-Ville,23,8.6
20,U6589,53,F,2025-05-19 11:25:00,2025-05-19 12:00:00,Station Corniche,Station Stade,35,9.8
21,U5208,63,F,2025-02-09 07:53:00,2025-02-09 08:21:00,Station Stade,Station Hôpital,28,9.1
22,U1097,56,F,2025-12-08 08:23:00,2025-12-08 08:44:00,Station Souk,Station Centre-Ville,21,7.6
23,U6928,60,F,2024-12-17 21:48:00,2024-12-17 22:22:00,Station Hôpital,Station Quartier Administratif,34,8.8
24,U2023,44,M,2025-07-26 17:23:00,2025-07-26 18:58:00,Station Marina,Station Université,95,17.0
25,U5848,25,F,2024-02-26 18:03:00,2024-02-26 18:28:00,Station Corniche,Station Hôpital,25,7.6
26,U6319,33,F,2025-08-08 13:15:00,2025-08-08 13:45:00,Station Marina,Station Technopark,30,9.1
27,U8462,50,F,2024-07-05 08:01:00,2024-07-05 08:12:00,Station Marina,Station Corniche,11,7.4
